"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","146.164.69.8","192.150.187.11","TCP","60","33397 > http [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=46734052 TSecr=0 WS=1"
"2","0.000235","192.150.187.11","146.164.69.8","TCP","60","http > 33397 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=2 TSval=595546348 TSecr=46734052"
"3","0.209878","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=1 Ack=1 Win=5840 Len=0 TSval=46734073 TSecr=595546348"
"4","0.248596","146.164.69.8","192.150.187.11","HTTP","430","Continuation or non-HTTP traffic[Packet size limited during capture]"
"5","0.250791","192.150.187.11","146.164.69.8","HTTP","1500","HTTP/1.1 200 OK [Packet size limited during capture]"
"6","0.252026","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"7","0.741214","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=379 Ack=1449 Win=8688 Len=0 TSval=46734096 TSecr=595546373"
"8","0.741287","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=379 Ack=2897 Win=11584 Len=0 TSval=46734096 TSecr=595546373"
"9","0.742599","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"10","0.743933","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"11","0.745166","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"12","0.745337","192.150.187.11","146.164.69.8","HTTP","187","Continuation or non-HTTP traffic[Packet size limited during capture]"
"13","1.021623","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=379 Ack=4345 Win=14480 Len=0 TSval=46734146 TSecr=595546422"
"14","1.021631","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=379 Ack=5793 Win=17376 Len=0 TSval=46734146 TSecr=595546422"
"15","1.021636","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=379 Ack=7241 Win=20272 Len=0 TSval=46734147 TSecr=595546422"
"16","1.021641","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=379 Ack=7376 Win=20272 Len=0 TSval=46734147 TSecr=595546422"
"17","9.316850","146.164.69.8","192.150.187.11","HTTP","421","Continuation or non-HTTP traffic[Packet size limited during capture]"
"18","9.329150","192.150.187.11","146.164.69.8","HTTP","1500","HTTP/1.1 200 OK [Packet size limited during capture]"
"19","9.330378","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"20","9.331619","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"21","9.332849","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"22","9.334083","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"23","9.335323","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"24","9.336555","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"25","9.337796","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"26","9.586526","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=8824 Win=23168 Len=0 TSval=46735004 TSecr=595547281"
"27","9.587895","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"28","9.588354","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=10272 Win=26064 Len=0 TSval=46735005 TSecr=595547281"
"29","9.588451","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=11720 Win=28960 Len=0 TSval=46735005 TSecr=595547281"
"30","9.589816","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"31","9.591052","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"32","9.592287","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"33","9.593518","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"34","9.594753","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"35","9.691875","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=13168 Win=31856 Len=0 TSval=46735005 TSecr=595547281"
"36","9.693231","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"37","9.693355","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=14616 Win=34752 Len=0 TSval=46735005 TSecr=595547281"
"38","9.693451","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=16064 Win=37648 Len=0 TSval=46735005 TSecr=595547281"
"39","9.693548","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=17512 Win=40544 Len=0 TSval=46735006 TSecr=595547281"
"40","9.693621","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=18960 Win=43440 Len=0 TSval=46735006 TSecr=595547281"
"41","9.694869","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"42","9.696105","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"43","9.697356","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"44","9.698581","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"45","9.699819","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"46","9.701047","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"47","9.702281","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"48","9.703587","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"49","9.704825","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"50","9.805418","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=20408 Win=46336 Len=0 TSval=46735030 TSecr=595547307"
"51","9.805533","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=21856 Win=49232 Len=0 TSval=46735030 TSecr=595547307"
"52","9.806802","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"53","9.808061","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"54","9.809362","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"55","9.810617","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"56","9.810680","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=23304 Win=50680 Len=0 TSval=46735030 TSecr=595547307"
"57","9.810751","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=24752 Win=49232 Len=0 TSval=46735030 TSecr=595547307"
"58","9.810826","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=26200 Win=47784 Len=0 TSval=46735030 TSecr=595547307"
"59","9.811091","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=27648 Win=46336 Len=0 TSval=46735031 TSecr=595547307"
"60","9.812523","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"61","9.813750","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"62","9.814986","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"63","9.816228","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"64","9.817477","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"65","9.818698","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"66","9.819937","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"67","9.821165","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"68","10.063796","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=29096 Win=46336 Len=0 TSval=46735042 TSecr=595547317"
"69","10.065192","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"70","10.066429","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"71","10.066499","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=30544 Win=44888 Len=0 TSval=46735042 TSecr=595547317"
"72","10.066568","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=31992 Win=43440 Len=0 TSval=46735042 TSecr=595547317"
"73","10.067950","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"74","10.069186","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"75","10.069248","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=42128 Win=34752 Len=0 TSval=46735046 TSecr=595547317"
"76","10.069326","146.164.69.8","192.150.187.11","TCP","52","33397 > http [ACK] Seq=748 Ack=59504 Win=18824 Len=0 TSval=46735058 TSecr=595547328"
"77","10.070666","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"78","10.071896","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"79","10.073133","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"80","10.074372","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"81","10.075606","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
"82","10.076229","192.150.187.11","146.164.69.8","HTTP","752","Continuation or non-HTTP traffic[Packet size limited during capture]"
"83","10.077473","192.150.187.11","146.164.69.8","HTTP","1500","Continuation or non-HTTP traffic[Packet size limited during capture]"
